{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 1.524869441986084}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 2.1190037727355957}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 3.13071346282959}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 5.214369058609009}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 9.961726665496826}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 19.61015295982361}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 41.80064940452576}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 87.81320667266846}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'diag', 'Time': 324.06333088874817}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 1.0957894325256348}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 1.5780696868896484}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 2.264871835708618}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 3.5380709171295166}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 5.254596948623657}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 9.79450798034668}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 19.267741441726685}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 42.21809673309326}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 109.89179801940918}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'spherical', 'Time': 330.34521555900574}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 1.7679061889648438}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 2.2328834533691406}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 1.0950770378112793}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 1.5141215324401855}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 1.7122070789337158}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 3.2168498039245605}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 8.41152024269104}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 27.943482637405396}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 118.97087001800537}
{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'full', 'Time': 605.3060667514801}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 1.7503001689910889}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 1.8780558109283447}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 0.8340435028076172}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 0.8195939064025879}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 1.8671720027923584}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 3.628999948501587}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 9.906513690948486}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 34.63806390762329}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 180.53923988342285}
{'N': 20480, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'tied', 'Time': 730.8249652385712}
{'N': 40, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 1.8171567916870117}
{'N': 80, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 2.16788387298584}
{'N': 160, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 0.8862619400024414}
{'N': 320, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 1.1975939273834229}
{'N': 640, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 1.9283180236816406}
{'N': 1280, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 4.420398712158203}
{'N': 2560, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 15.118585348129272}
{'N': 5120, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 47.07624888420105}
{'N': 10240, 'Affinity': 'euclidean', 'Linkage': 'ward', 'Covariance_Type': 'diag', 'Time': 180.80601263046265}
